geometry,amenity,is_in,name,addr:city,addr:housename,addr:postcode,addr:street,emergency,healthcare,note,operator,addr:housenumber,opening_hours,addr:district,addr:full,addr:state,phone,source,name:en,email,healthcare:speciality,addr:block,health_facility:type,operator:type,website,wikidata,wikipedia,check_date,addr:subdistrict,level,air_conditioning,branch,building,name:ta,building:levels
POINT (80.2543207 12.9827116),clinic,,Appasamy Pillai Bone Setting Clinic,,,600041,,,clinic,,,,,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2638733 12.9812766),clinic,,Tharu Clinic,,,600041,,,clinic,,,,,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2619646 12.993602),clinic,,Sujetha Clinic,,,600041,,,clinic,,,,,Chennai,"Radhakrishnan Nagar, Adyar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2594242 12.9802929),clinic,,Dr. K.Chandra ENT Clinic,,,600041,,,clinic,,,,,Chennai,"Saraswathi Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2590444 12.9854883),clinic,,Sri Saradha Eye Clinic,,,600041,,,clinic,,,,,Chennai,Thiruvanmiyur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2620778 13.0428357),clinic,,Chennai Urology Clinic,,,600004,,,clinic,,,,,Chennai,"Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2678508 13.0374881),clinic,,Children's Clinic,,,600004,,,clinic,,,,,Chennai,"Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2580809 12.9787624),clinic,,Sreehareeyam Ayurveda,,,600041,,,clinic,,,,,Chennai,Thiruvanmiyur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2665 13.042006),clinic,,Vijayganga Speciality Care,,,600004,,,clinic,,,,,Chennai,"Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2771022 13.0554568),clinic,,Homeopathy Clinic,,,600005,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2692643 12.9956803),clinic,,Jayam Polyclinic,,,600090,,,clinic,,,,,Chennai,Besant Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.199977 13.056806),clinic,,Revathi Child Care Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1936068 13.0398827),clinic,,Aishwarya Clinic,,,600083,,,clinic,,,,,Chennai,KK Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.20767 13.052893),clinic,,Spn Orthopaedic Clinic,,,600026,,,clinic,,,,,Chennai,"Vadapalani, Chennai",Tamil Nadu,,Local Knowledge,,,orthopaedics,,,,,,,,,,,,,,
POINT (80.24239 13.0624604),clinic,,Pranic Health,,,600034,,,clinic,,,,,Chennai,"Seetha Nagar, Nungambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.199068 13.051432),clinic,,Lakshana Physiotherapy,,,600093,,,clinic,,,,,Chennai,"Saligramam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2056967 13.0522176),clinic,,Prime Health Care Clinics,,,600026,,,clinic,,,,,Chennai,"Kumaran Colony, Vadapalani, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1938731 13.0488672),clinic,,Swathy Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1862225 13.0463215),clinic,,Jayanthi Skin and Bone Care Clinic,,,600095,,,clinic,,,,,Chennai,"Alwartirunagar, Valasaravakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1959333 13.0385615),clinic,,Anub Sivam Clinic,,,600083,,,clinic,,,,,Chennai,KK Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2034981 13.0509757),clinic,,Dr. J. Sarojini Homoeopathic Clinic,,,600093,,,clinic,,,,,Chennai,"Saligramam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1990412 13.0580674),clinic,,Shri Sai Skin and Eye Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.193165 13.0489648),clinic,,Pulmo Care,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1931668 13.0393234),clinic,,Sucha Eye Cure,,,600078,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1995444 13.0554821),clinic,,Ponni Nursing Home,,,600093,,,clinic,,,,,Chennai,"Annamalai Colony, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1895556 13.0484913),clinic,,Sri Venkateswara Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2007559 13.0510747),clinic,,JKR Clinic,,,600093,,,clinic,,,,,Chennai,"Kannabiran Nagar, Saligramam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2462554 13.0567527),clinic,,Skin Doctor,,,600034,,,clinic,,,,,Chennai,"Nungambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2073763 13.0524295),clinic,,Madhu Clinic,,,600026,,,clinic,,,,,Chennai,"Vadapalani, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2412336 13.0619929),clinic,,Dr. Rajaram Clinic,,,600034,,,clinic,,,,,Chennai,"Jayalakshmipuram, Nungambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1924907 13.0381951),clinic,,Dr. A. Aravind Clinic,,,600083,,,clinic,,,,,Chennai,"MGR Nagar, Nesapakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2078101 13.0542711),clinic,,Chitra Clinic,,,600026,,,clinic,,,,,Chennai,"Vadapalani, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1920141 13.0486566),clinic,,Ruban Moses Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1919214 13.0518895),clinic,,Cura Health Plus,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1943253 13.0422476),clinic,,Sri Varma and Spine Care Centre,,,600083,,,clinic,,,,,Chennai,"Sector 10, K. K. Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.243411 13.0592237),clinic,,Sri Sai Swamy Clinic,,,600034,,,clinic,,,,,Chennai,"Tirumurthy Nagar, Nungambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1954994 13.0417465),clinic,,American Eye Care Centre,,,600078,,,clinic,,,,,Chennai,"Santhiniketan Colony, K. K. Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2036821 13.0535204),clinic,,SV Vision & Dental Care,,,600093,,,clinic,,,,,Chennai,"Saligramam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2038876 13.0529876),clinic,,Sakthi Natural Fertility Care,,,600093,,,clinic,,,,,Chennai,"Saligramam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2012135 13.0585803),clinic,,Sakthi Nursing Home,,,600093,,,,,,,,Chennai,"Saligramam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1985381 13.0542347),clinic,,N.R.G. Multispeciality Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1972002 13.0554179),clinic,,Herba Clinic,,,600093,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1895753 13.0496363),clinic,,Vijay Anand Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2062705 13.0519687),clinic,,Lister Metropolis,,,600026,,,clinic,,,,,Chennai,"Vadapalani, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1922401 13.0519538),clinic,,Dr. R. Muthukumar ENT Surgeon,,,600092,,,clinic,,,,,Chennai,"Swarnambigai Nagar, Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.199343 13.053108),clinic,,Ezhilarasi Clinic,,,600093,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2457812 13.0577596),clinic,,D` Mas Joint Clinic,,,600034,,,clinic,,,,,Chennai,"Tirumurthy Nagar, Nungambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1922599 13.0511518),clinic,,Jayam Diabetes Speciality Clinic,,,600092,,,clinic,,,,,Chennai,"Virugambakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1868077 13.046215),clinic,,Malar Homeopath Clinic,,,637001,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2656345 13.0860428),clinic,,Orient Clinics,,,600112,,,clinic,,,,,Chennai,"Choolai, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2418747 13.0881756),clinic,,Dr. V.G.K Memorial Homeo Clinic,,,600010,,,clinic,,,,,Chennai,"Sanyasipuram, Kilpauk, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2421118 13.0885541),clinic,,Akn Nursing Home,,,600010,,,clinic,,,,,Chennai,"Kilpauk, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.262082 13.07127),clinic,,Metropolis Healthcare,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2656477 13.0864725),clinic,,Navakar I Care,,,600012,,,clinic,,,,,Chennai,"Periyamedu, Choolai, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2409391 13.0719723),clinic,,Nandita's Clinic,,,600031,,,clinic,,,,,Chennai,"Chetpet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.257578 13.079584),clinic,,Premier Health Centre,,,600084,,,clinic,,,,,Chennai,"Purasaiwakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.233925 13.076912),clinic,,Padma Clinic & Nursing Home,,,600010,,,clinic,,,,,Chennai,"Kilpauk, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2705092 13.0752787),clinic,,Vinayagam Clinic,,,600002,,,clinic,,,,,Chennai,"Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2555444 13.074758),clinic,,Dr. Ilavarasan Ortho Clinic,,,600008,,,clinic,,,,Mo-Sa 18:00-20:00,Chennai,"Egmore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2688425 13.0747088),clinic,,Nalam Clinic,,,600002,,,clinic,,,,,Chennai,"Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.27068 13.0755581),clinic,,Dr. Arjun Thomas Clinic,,,600002,,,clinic,,,,,Chennai,"Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.263297 13.082126),clinic,,TMM Eye Centre,,,600007,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.267898 13.090224),clinic,,Vardhman Multispeciality,,,600112,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2684334 13.0750341),clinic,,Vembu Clinic,,,600002,,,clinic,,,,,Chennai,"Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.257646 13.079529),clinic,,Neuro Mind Care Clinic,,,600084,,,clinic,,,,,Chennai,"Egmore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.267103 13.0763548),clinic,,Dr. Sridharan Clinic,,,600002,,,clinic,,,,,Chennai,"Adikesavarpuram, Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2331613 13.0821498),clinic,,"Psy Hub, Brain and Behaviour",,,600010,,,clinic,,,,,Chennai,"Kilpauk, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2407506 13.070275),clinic,,Dr. Sukumar's Skin Clinic,,,600031,,,clinic,,,,,Chennai,"Chetpet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2679228 13.0734625),clinic,,Dr. A Manivannan Clinic,,,600002,,,clinic,,,,,Chennai,"Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2461467 13.0846937),clinic,,Dr. Sundar's Homoeopathic Clinic,,,600010,,,clinic,,,,,Chennai,"Kilpauk, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2693127 13.0756085),clinic,,Kabeer Clinic,,,600002,,,clinic,,,,,Chennai,"Adikesavarpuram, Chintadripet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2212904 13.1244332),clinic,,Kottakkal Arya Vaidya Sala Clinic,,,600099,,,clinic,,,,,Chennai,"Somanathapuram, Kolathur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2254809 13.1161848),clinic,,Obg Health Point,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.230222 13.1102844),clinic,,Spectrum Pediatric Therapy,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2278922 13.1178155),clinic,,Hiran Eye Retina Centre,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2197712 13.1262133),clinic,,Annai Eye Clinic,,,600099,,,clinic,,,,,Chennai,"Red Hills Road, Ponniammanmedu",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2239462 13.116713),clinic,,GM Nursing Home,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2161334 13.1293965),clinic,,Dr. Rao's Clinic,,,600099,,,clinic,,,,,Chennai,Kolathur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2123936 13.1224029),clinic,,Child Care Clinic,,,600082,,,clinic,,,,,Chennai,"Poompuhar Nagar, Kolathur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2251062 13.1207062),clinic,,G.R Clinic,,,600082,,,clinic,,,,,Chennai,"Lakshmanan Nagar, Kolathur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2286067 13.1175414),clinic,,Maayi Nursing Home,,,600099,,,clinic,,,,,Chennai,"Jawahar Nagar, Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2174972 13.1272226),clinic,,American Dental Care,,,600082,,,clinic,,,,,Chennai,"Vivek Nagar, Kolathur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.224138 13.116675),clinic,,Jaya Eye Clinic,,,600082,,,clinic,,,,,Chennai,"Kolathur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2269961 13.1171076),clinic,,Elangovan ENT Surgeon,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2191464 13.1260152),clinic,,Cure Plus Clinic,,,600099,,,clinic,,,,,Chennai,"Siva Parvathi Nagar, Kolathur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2221769 13.12251),clinic,,Sugam Ortho Clinic,,,600099,,,clinic,,,,,Chennai,"Anjugam Nagar, Kolathur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2250502 13.116533),clinic,,Sendoor Clinic,,,600082,,,clinic,,,,,Chennai,"Perambur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2168565 13.1277489),clinic,,Akshita Speciality Clinic,,,600099,,,clinic,,,,,Chennai,"Perambur Red Hills Road, Girija Nagar, Kolathur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2210295 13.1220895),clinic,,GR Clinic,,,600082,,,clinic,,,,,Chennai,"Santhi Nagar, Kolathur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.218505 13.119731),clinic,,G K Clinic,,,600099,,,clinic,,,,,Chennai,"Kolathur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2085925 13.0290009),clinic,,Veekays Pet Care Clinic,,,,"89, Jawaharlal Nehru Rd, Kasi Estate, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,clinic,,,,Mo-Sa 10:00-20:00; Su 10:00-13:00,,,,98410 42412,,,,,,,,https://veekayspetcare.com/,,,,,,,,,,
POINT (80.2010012 13.0388056),clinic,,Sham's Rheumatic Care Centre,Chennai,,600078,"Door No. - 107, Lakshamana Swamy Salai, Next to Punjab National Bank, K. K Nagar West",,clinic,,,344,,,,,,,,,rheumatology,,,,https://www.rheumatologistchennai.in/dr-shams-rheumatic-care,,,,,,,,,,
POINT (80.1855413 13.0946251),clinic,,Suguna Clinic,Chennai,,600050,"Elango St, Elango Nagar, Murthy Nagar",,clinic,,,86,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1814241 13.095401),clinic,,Mohan Clinic,,,,,,clinic,,Dr. Mohan,,,,,,,,,,diabetes,,,private,,,,,,,,,,,
POINT (80.1811597 12.9780615),clinic,,Government Mini Clinic,,,,,,,,Government of Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1868929 13.1076382),clinic,,,,,600080,east avenve,,,,,,,,,,,,ESIC korattur,,,,,,,,,,,,,,,,
POINT (80.201478 13.1245764),clinic,,Trident medicare center,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2875876 13.0969386),clinic,,Sri Lakshmi Clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2799297 13.0974459),clinic,,Kumaran Physiotherapy & Pain Relief Clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.279272 13.0965132),clinic,,Mahaveer Health Care Services,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2798213 13.0958069),clinic,,G.T. Clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.209299 13.1225226),clinic,,,,,,,,,,,,Mo-Sa 09:00-19:00,,,,,,Swamy Eye Clinic,,,,,,,,,,,1,,,,,
POINT (80.2806005 13.0974018),clinic,,Sakthi Clinic - Dr. B. Palani,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2752345 13.0826233),clinic,,Apollo Emergency Medical Centre,,,,,,clinic,,Apollo Hospitals,,24/7,,,,,,,,general;paediatrics;radiology;cardiology;intensive;cardiothoracic_surgery,,,private_for_profit,,,,2025-12-27,,0,yes,clinic,,,
POINT (80.2576709 13.0061507),clinic,,,,,,,,clinic,,,,,,,,,,Anbu Clinic,,,,,,,,,,,,,,,,
POINT (80.3147634 13.1889086),clinic,,Chinnus Blood Testing,,,,,,clinic,,,,Mo-Fr 08:30-13:00,,,,,,,,,,,,,,,2024-12-28,,,,,,,
POINT (80.3153353 13.1881126),clinic,,RG Clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,2024-12-28,,,,,,,
POINT (80.3150883 13.1877986),clinic,,RG Clinic Diabetologist,,,,,,clinic,,Private,,,,,,,,,,,,,,,,,2024-12-28,,,,,,,
POINT (80.2524798 13.0728153),clinic,,The Hive Fertility Centre,,,,Mayor Ramanathan Road (Spur Tank Road),,,,,,Mo-Su 06:00-11:00,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2435995 13.0531057),clinic,,Capstone Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2307333 13.0149516),clinic,,Dr Abirami's skincare clinic,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2145746 13.1295572),clinic,,SRI CHAKRA SCANS,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2592225 13.0967132),clinic,,Vee Kay,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,0,,,,,
POINT (80.1951197 13.0414947),clinic,,Sudar Medical Centre,,,600078,Ramasamy Salai,,clinic,,,,,,,,044 23774143,,,,,,,,,,,2026-07-13,,,,,,,
"POLYGON ((80.1481277 13.1218095, 80.1481626 13.1218764, 80.1483632 13.1217769, 80.1483282 13.12171, 80.1481277 13.1218095))",clinic,,Iswarya Fertility Center,Chennai,,600053,Chennai - Tiruttani - Renigunta Road,,clinic,,,,,Chennai,,,,,,,fertility;gynaecology,,,,,,,,,,,,yes,,
"POLYGON ((80.2564042 12.9608984, 80.2563873 12.9608135, 80.2564679 12.9607945, 80.2564938 12.9608826, 80.2564042 12.9608984))",clinic,,Government Dispensary,palavakkam,,600041,East Coast Road SH49,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,அரசு ஆரம்ப சுகாதர மைய்யம்,
"POLYGON ((80.2890493 13.0914609, 80.2890483 13.091455, 80.2890379 13.091391, 80.2887932 13.0914256, 80.288807 13.0915124, 80.2888693 13.0915038, 80.2888667 13.091486, 80.2890493 13.0914609))",clinic,,KHM Medical Centre,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,4
"POLYGON ((80.2844784 13.1029448, 80.2845022 13.1030449, 80.2844826 13.103049, 80.2843117 13.1030881, 80.2842879 13.1029877, 80.2842992 13.1029851, 80.2843822 13.1029664, 80.2844784 13.1029448))",clinic,,Mother Diagnostic Centre,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,4
"POLYGON ((80.149764 13.1237156, 80.1498327 13.1239145, 80.1497079 13.1239748, 80.1496305 13.1237684, 80.149764 13.1237156))",clinic,,Swathi Fertility Centre,,,,,,clinic,,,,,,,,,,,,fertility,,,,,,,,,,,,yes,,
