geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,created_by,check_date,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,cash_in,level,name:en,name:hi,name:kn,name:pa,name:pnb,name:ur,wheelchair,brand:wikipedia:pa,fee,designation,website,branch,addr:city,addr:postcode,addr:street,brand:ta,name:ta,addr:housenumber,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,description,phone,network,official_name,atm,longitude,latitude
POINT (80.2093664 13.1054823),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2093664,13.105482300000002
POINT (80.2057499 13.0181467),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2057499,13.018146700000003
POINT (80.2065171 13.0208632),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2065171,13.020863199999999
POINT (80.2059273 13.0188147),atm,Karur Vysya Bank,,Q6373724,,,,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2059273,13.018814699999998
POINT (80.2059389 13.0188342),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2059389,13.018834200000002
POINT (80.1995906 13.085201),atm,,,,,,,,Digibank DBS ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1995906,13.085200999999998
POINT (80.1926461 13.0868316),atm,Bank of Baroda,,Q2003797,,yes,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1926461,13.0868316
POINT (80.192539 13.0855102),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.192539,13.085510200000002
POINT (80.1919927 13.0832304),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1919927,13.083230399999998
POINT (80.1926388 13.0867787),atm,Bank of Baroda,,Q2003797,,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1926388,13.086778700000004
POINT (80.1924214 13.0845781),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,80.1924214,13.084578099999996
POINT (80.1987535 13.0825873),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1987535,13.0825873
POINT (80.2695057 13.052885),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,24/7,Axis Bank,,Q2003549,en:Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2695057,13.052885
POINT (80.2124946 13.0401644),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,en:Canara Bank,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,ਕੇਨਰਾ ਬੈਂਕ,,,,,,,,,,,,,,,,,,,,,,,80.2124946,13.040164400000002
POINT (80.2116896 13.0570634),atm,,,,,,,,Indicash ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2116896,13.057063399999999
POINT (80.2091184 13.0296904),atm,City Union Bank,City Union Bank,Q2040264,,,,,City Union Bank,,,City Union Bank,,Q2040264,,CUB,,,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,,City Union Bank,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,,,,,,,,"West Jafferkhanpet, Chennai - 600083",சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,سیتی یونیون بنک,सिटी युनियन बँक,https://www.cityunionbank.com,سیتی یونیون بنک,सिटी युनियन बँक,ਸੀ ਯੂ ਬੀ,سی یو بی,,,,,,80.2091184,13.029690399999998
POINT (80.1748778 12.9866854),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1748778,12.986685399999999
POINT (80.1804073 13.0798051),atm,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,Tamilnad Mercantile Bank Limited,,,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1804073,13.0798051
POINT (80.1812905 13.0777386),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1812905,13.0777386
POINT (80.2092043 13.0494006),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2092043,13.049400600000002
POINT (80.2757315 13.0614042),atm,,,,,,,,,,,bank of boroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2757315,13.0614042
POINT (80.2866045 13.080138),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2866045,13.080138000000002
POINT (80.2627557 13.0744747),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2627557,13.0744747
POINT (80.2866224 13.0801885),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,,Axis Bank,,Q2003549,en:Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2866224,13.080188499999998
POINT (80.2866326 13.0802396),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2866326,13.080239599999999
POINT (80.2622478 13.0744128),atm,Karur Vysya Bank,,Q6373724,,,,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2622478,13.074412800000001
POINT (80.2865943 13.080095),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2865943,13.080095000000002
POINT (80.2619955 13.0741156),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2619955,13.074115600000003
POINT (80.2554789 13.069449),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2554789,13.069449000000002
POINT (80.2042888 12.9801453),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,,,,,,,,,,,,,,,,,,,,,,"Sakthi Nagar Main Road, Shakti Nagar Extention1, Balaji Nagar Extn-II, Balaji Nagar, Velachery, Chennai, Tamil Nadu 600088",,,,,,,,,,,,,,,,80.2042888,12.980145300000002
POINT (80.2101487 13.1074334),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2101487,13.1074334
POINT (80.196884 13.0874666),atm,South Indian Bank,,Q2044973,,,,,South Indian Bank,,,South Indian Bank,,Q2044973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.196884,13.0874666
POINT (80.2514393 12.9775683),atm,IndusInd Bank,,Q2040323,,,,,IndusInd Bank,,,IndusInd Bank,,Q2040323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2514393,12.977568299999996
POINT (80.2513119 12.9774476),atm,Axis Bank,,Q2003549,,,,,,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2513119,12.977447599999998
POINT (80.2512818 12.9774372),atm,City Union Bank,City Union Bank,Q2040264,,,,,,,,City Union Bank,,Q2040264,,CUB,,,सिटी यूनियन बैंक,,,,,,,City Union Bank,सिटी यूनियन बैंक,,,,,,,,,,,,,,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,80.2512818,12.977437200000002
POINT (80.2510412 12.9773441),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.25104120000002,12.977344100000002
POINT (80.2509345 12.9801406),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2509345,12.980140600000002
